disease	efo_iri
peak concentrations of active metabolite of dabigatran etexilate after treatment with dabigatran etexilate	EFO_0000000
chronic periodontitis	EFO_0006343
hdl cholesterol mean size lipoprotein fraction concentration	N/A
alcohol behavior (heaviest period frequency drunk)	EFO_0003829
type 2 diabetes (young onset) and obesity	EFO_0001360
walking speed at advanced age	GO_0007568
peripheral arterial disease (pad) (males)	EFO_0004265
number of words recalled after 5 minutes	N/A
renal function-related traits (urea)	HP_0000083
ratio of 5-hydroxyindoleacetic acid to 3-methoxy-4-hydroxyphenylglycol in cerebrospinal fluid (csf)	EFO_0000618
airway wall thickness	N/A
ill-defined descriptions and complications of heart disease	EFO_0003777
beta-cryptoxanthin plasma levels	EFO_0005878
cortical bone mineral density (bmd)	N/A
metabolite levels (dihydroxy docosatrienoic acid)	EFO_0003144
ossification of the posterior longitudinal ligament of the spine	N/A
number of c9orf72 hexanucleotide repeats in amyotrophic lateral sclerosis (als) patients	EFO_0000253
iloperidone treatment response in schizophrenia (panss-t association)	N/A
"combined type 1 diabetes, rheumatoid arthritis"	EFO_0000685
oligozoospermia	EFO_0004248
gingivitis	HP_0000230
anger	N/A
symptomatic menopause	N/A
carotid atherosclerosis in hiv infection	EFO_0003781
overall survival in patients who received platinum-based chemotherapy for advanced-stage non-small cell lung cancer (patients with stage iii & iv disease)	N/A
insulin processing and secretion	EFO_0002614
response to montelukast in asthma (change in fev1)	N/A
cognitive ageing (females)	EFO_1001457
systolic blood pressure	EFO_0000537
"lung function, forced expiratory volume in 1 second (fev1) smoking pack years"	EFO_0003818
lower trunk subcutaneous adipose in antiretroviral-treated hiv-1 infected men	N/A
postoperative nausea and vomiting	EFO_0004888
f-cell distribution	EFO_0004272
serum creatinine estimated glomerular filtration rate (egfr)	HP_0000083
type 1 diabetes and autoimmune thyroid diseases	EFO_0005140
appendicular lean mass-femoral neck cortical thickness bivariate association	EFO_0003882
qt interval	HP_0001657
carboplatin-induced neutropenia/leukopenia in cancer patients	N/A
skin 1-naphthyl-keratin adduct (1nka) levels in workers exposed to naphthalene	EFO_0000000
multiple sclerosis (brain glutamate levels)	EFO_0003885
apoa2 (apolipoprotein aii) (in female twins)	N/A
facial pigmentation	EFO_0003963
glycated hemoglobin (mean hba1c) in type 1 diabetics	EFO_0001359
myopia (high myopia)	HP_0000545
corneal curvature	N/A
hair color (non-red hair (black to blonde))	EFO_0003924
breast cancer recurrence	EFO_0000305
aortic valve calcium	EFO_0000266
chronic lymphocytic leukemia/small lymphocytic lymphoma	EFO_0000574
pain	EFO_0003843
chronic glomerulonephritis	HP_0000099
type 2 diabetes and other traits	EFO_0001360
type 2 diabetes and cataracts in patients over 20 years	EFO_0000000
hiv-1 control (viral load at set point)	EFO_0000764
retinal vascular caliber	EFO_1001156
"apoe (apolipoprotein e, males)"	N/A
soluble intercellular adhesion molecule 1 (icam-1) in current smokers	GO_0006954
pc2 (disc area)	EFO_0000516
oxidized ldl cholesterol	HP_0010980
cerebrospinal fluid (csf) ptau in patients with clinical dementia rating 0	N/A
systolic blood pressure (sbp)	EFO_0000537
vitamin e levels	HP_0100513
child behavior checklist/1.5-5 pervasive developmental problems	EFO_0004364
hdl cholesterol in hiv-infection	N/A
left ventricular systolic dysfunction	EFO_0003777
otosclerosis	EFO_0004213
survival in small-cell lung cancer patients	N/A
osteopenia	EFO_0004260
adverse response to chemotherapy (neutropenia/leucopenia) (doxorubicin)	EFO_0000000
dyslexia (mismatch negativity (300-710 ms))	EFO_0005424
idiopathic premature ovarian failure	EFO_0004266
biologic age by osseographic scoring system	GO_0007568
fasting serum sicam-1 (pg/ml) in children	N/A
"attention deficit-hyperactivity disorder (adhd) dsm-iv scale, preschool edition"	EFO_0003888
hiv-1 control	EFO_0000764
plasma total protein s levels	N/A
placental abruption	HP_0011419
hypertension (with local african versus european ancestry)	EFO_0000537
fetal hemoglobin level (the proportion of f-cells in sickle-cell disease - females)	Orphanet_68364
schizophrenia (series score intelligence test)	EFO_0000692
dna repair capacity in cultured peripheral lymphocytes (bpde-damage host-cell reactivation testing) in lung cancer cases and controls	N/A
common variable immunodeficiency (low b cells)	Orphanet_1572
fasting serum free thyroxine (t4) (pg/ml) in children	N/A
femoral neck bone mineral density (bmd) (females)	N/A
kidney stones	EFO_0003845
multiple sclerosis--brain glutamate levels	EFO_0003885
paclitaxel-induced neutropenia/leukopenia in cancer patients	N/A
blood pai1 levels by enzymatic assay	N/A
matrix metalloproteinase levels	EFO_0000378
barnes akathisia rating scale	N/A
fasting serum tnf-alpha (tnf-a) (pg/ml) in children	N/A
pulmonary arterial hypertension (without bmpr2 mutations)	EFO_0001361
cerebral malaria	EFO_0001068
left atrial size (la size)	EFO_0003777
"diabetic retinopathy in type 2 diabetes mellitus, etdrs grade>=30"	EFO_0003770
optic disc area	EFO_0003839
anticoagulants causing adverse effects	EFO_0000000
high-grade glioma	EFO_0000519
adjusted glycated hemoglobin (hba1c)	EFO_0004272
tooth agenesis (mandibular third molar)	Orphanet_99797
response to iloperidone treatment (qt prolongation)	N/A
subcutaneous adipose tissue (male)	EFO_0001073
"stroke, small vessel disease"	N/A
carboplatin ic50	N/A
gains in maximal o2 uptake response	N/A
speech perception in dyslexia	EFO_0005424
abdominal aortic calcification	EFO_0003914
autism spectrum disorders with language delay	EFO_0003758
response to mtor inhibitor (rapamycin)	N/A
hypertension complicating pregnancy	N/A
fmri brain tests in schizophrenia	EFO_0000692
heart rate in non-hypertensives	HP_0001649
serum phytosterol (campesterol)	N/A
alcoholism	EFO_0003829
blood urea nitrogen (bun)	HP_0000083
"heart rate in non-obese, non-cancer and non-kidney stone individuals (with additional exclusion of mi, hf, afib, heart block, heart rate altering medications, extremes of hr)"	HP_0001649
serum protein levels (sst2)	N/A
"lung function, forced expiratory volume in 1 second (fev1) decline by aspirin provocation"	HP_0012042
crohn's disease and sarcoidosis (combined)	Orphanet_379
n-acetyl-p-benzoquinonimine (napqi) ic50 values	EFO_0004228
basal cell carcinoma	EFO_0004193
conduct disorder case status	EFO_0004216
tissue plasminogen activator (tpa)	N/A
lumbar spine bone mineral density (bmd) (females)	N/A
adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel  carboplatin)	EFO_0000000
sporadic thoracic aortic aneurysms and dissections without bicuspid aortic valve	EFO_0004282
hippocampal volume	N/A
"cognitive performance, wide-range achievement test"	N/A
large b-cell lymphoma	HP_0012191
follicular lymphoma (cancer)	EFO_0000096
"varicose veins of lower extremity, symptomtic"	HP_0002619
pediatric crohn's disease	EFO_0000384
asparagus anosmia	HP_0000458
age at natural menopause	N/A
leukocyte telomere length in males	N/A
response to diuretic therapy in hypertension	N/A
antibody status in tripanosoma cruzi seropositivity	N/A
metabolic side effects to antipsychotic drugs (risperidone effect on hemoglobin a1c (hba1c))	N/A
high platelet reactivity in patients with type 2 diabetes during acetylsalicylic acid (asa) treatment (defined as cepi-ct score of <193 s)	EFO_0001360
etoposide-induced neutropenia/leukopenia in cancer patients	N/A
lung cancer in smokers (years smoked <=35)	EFO_0001071
newborn birth weight (gm)	EFO_0004344
hiv-1 set point	EFO_0000765
asthma exacerbation	EFO_0000270
alanine aminotransferase (alt)	EFO_0001421
dementia and core alzheimer's disease neuropathologic changes	EFO_0005772
meconium ileus in cystic fibrosis	Orphanet_586
mean cell hemoglobin (mch)	EFO_0005803
symptoms involving nervous and musculoskeletal systems	N/A
hippocampal sclerosis of aging	EFO_0000474
gamma gluatamyl transferase levels	EFO_0001421
"disorders of synovium, tendon, and bursa"	N/A
pc2 - femoral cross-sectional geometry	EFO_0003882
abnormal thyroid function	HP_0000820
gout	EFO_0004274
lycopene in plasma	EFO_0005878
vitamin e alpha tocopherol	HP_0100513
other alveolar and parietoalveolar pneumonopathy	HP_0006517
chronic fatigue syndrome	EFO_0004540
testicular germ cell cancer	EFO_0004281
unstable angina (intermediate coronary syndrome)	MP_0006112
arthritis (juvenile idiopathic)	EFO_0002609
febrile seizures (mmr vaccine-unrelated)	HP_0002373
schizophrenia age at onset (females)	EFO_0000692
psychosis	EFO_0000677
serum dimethylarginine levels (asymmetric/symetric ratio)	EFO_0000319
sex hormone-binding globulin (shbg) (nmol/l)	EFO_0001379
vldl cholesterol particle diameter	HP_0003124
systemic sclerosis	EFO_0000717
end-stage renal disease	EFO_0003884
impetigo	EFO_1000714
renal sinus fat (female)	EFO_0001073
frontotemporal dementia	Orphanet_282
beta-amyloid peptide (abeta1-42) in cerebrospinal fliud in alzheimer's disease subjects	EFO_0000249
pyoderma gangrenosum in inflammatory bowel disease	EFO_0006835
fasting serum quantitative insulin sensitivity check index (quickl) in children	N/A
type 2 diabetes with or without end stage renal disease	EFO_0001360
mitral annular calcium	EFO_0003837
fat free mass (kg) in children	N/A
endometrial cancer (type 1 endometrial cancer)	EFO_0004230
absolute neutrophil count in hepatitis c	HP_0001875
"hip geometry, neck shaft angle, gender differentiated in females"	EFO_0003882
colorectal cancer vs adenoma controls (males)	EFO_0000365
homa-ir in children	N/A
classical hodgkin's lymphoma	EFO_0000183
platelet rich plasma (prp) colllagen (col)-lta 2 ug/ml	N/A
"neutrophil count, eosinophil count, white blood cell count (wbc), basophil count, platelet count (plt), hematocrit (hct)"	EFO_0005803
hepcidin levels	N/A
"bipolar disorder, combined control dataset, gender differentiated"	EFO_0000289
birth weight	EFO_0004344
hyperparathyroidism	HP_0000843
severe diabetic retinopathy	EFO_0003770
"nicotine dependence (smoking), pack-years"	EFO_0003768
autism with high iq	EFO_0003758
homeostasis model assessment of beta-cell function (interaction)	EFO_0002614
tnfr2	GO_0006954
homovanillic acid (hva) in cerebrospinal fluid (csf)	EFO_0000618
pediatric bone mineral content (radius)	N/A
presence of peripupillary pigmented ring	EFO_0003949
endometrial cancer	EFO_0004230
circulating myeloperoxidase levels (serum)	EFO_0000378
decrease in fev1 (in nonasthmatic and asthmatic participants)	EFO_0003818
non-hodgkin lymphoma (chronic lymphocytic leukemia/small lymphocytic lymphoma)	EFO_0000574
glycated hemoglobin (hba1c) in type 1 diabetics	EFO_0001359
post-exercise 3 minute recovery systolic blood pressure (sbp)	EFO_0000537
glaucoma (normal pressure glaucoma)	EFO_0000516
"hair morphology (straight, wavy, or curly)"	N/A
mood symptoms of schizophrenia	EFO_0000692
trans fatty acid levels	N/A
initiation of cannabis use	EFO_0007191
response to protease inhibitor treatment in hepatitis c (peak serum total bilirubin levels)	N/A
glp-1-stimulated insulin secretion during hyperglycemic clamps in nondiabetics	EFO_0002614
peyronie's disease	N/A
fasting serum total cholesterol (mg/dl) in children	N/A
parkinson's disease (motor and cognition)	EFO_0002508
osteoarthritis (females)	EFO_1000786
"time to event (myocardial infarction, heart failure, stroke, dementia, hip fracture, cancer or death)"	EFO_0000612
plasma aldosterone concentration	EFO_0000537
response to amphetamines	N/A
brain lesion load	EFO_0003885
graves' disease	EFO_0004237
alzheimer's disease (age of onset)	EFO_0000249
bladder cancer (smoking interaction)	EFO_0000294
febrile seizures	HP_0002373
response to antidepressants	N/A
"primary, nonsyndromic vesicoureteric reflex"	HP_0000083
hepatocellular carcinoma (hepatitis b virus related)	EFO_0000182
illicit drug use	EFO_0003890
carcinoma in situ of skin	N/A
metabolic side effects to antipsychotic drugs (risperidone effect on hip circumference)	N/A
severe oxaliplatin-induced chronic peripheral neuropathy in the treatment of colon cancer	EFO_0000000
response to antidepressant treatment (citalopram)	N/A
platinum-induced myelosuppression in non-small cell lung cancer	N/A
decrease in fev1/fvc ratio (in nonasthmatic ever smokers)	EFO_0003818
alcohol behavior (frequency of use)	EFO_0003829
reading and spelling	EFO_0004337
fasting serum triglycerides (mg/dl) in children	N/A
multiple sclerosis (females)	EFO_0003885
hepatomegaly	HP_0002240
malaria (severe malaria)	EFO_0001068
blood pressure measurement (high sodium intervention)	EFO_0000537
cisplatin-induced cytotoxicity as measured by cisplatin ic50	N/A
aging (time to death)	GO_0007568
reflected wave amplitude	EFO_0003914
rr interval (females)	HP_0001649
paclitaxel  carboplatin-induced neutropenia/leukopenia in cancer patients	N/A
prostate biopsy (having a prostate biopsy)	EFO_0000673
monocyte early outgrowth colony forming units	Orphanet_2442
lipoprotein-associated phospholipase a2 activity change in response to statin therapy	N/A
vldl cholesterol large lipoprotein fraction concentration	N/A
intraventricular septum wall thickness in hypertensive families	EFO_0002503
response to tocilizumab for the treatment of rheumatoid arthritis (change in health assessment questionnaire score) in rf individuals	N/A
"bronchial asthma, age of onset after age 16"	EFO_0000270
fat mass	EFO_0001073
personality traits in bipolar disorder (helpfulness vs. unhelpfulness)	N/A
melanocytic nevus count	EFO_0000625
"mean cell hemoglobin (mch), neutrophil count, white blood cell (wbc) count, hemoglobin (hgb), mean cell hemoglobin concentration (mchc), mean cell volume (mcv), hematocrit (hct), monocyte count"	EFO_0005803
skin color (very fair)	HP_0001010
multibacillary leprosy	EFO_0001054
chronic bronchitis in chronic obstructive pulmonary disease	EFO_0006505
hemoglobin (hb)	EFO_0004272
psychological distress	N/A
total ventricular volume (alzheimer's disease interaction)	N/A
hair color (black versus red)	EFO_0003924
esophageal cancer  (alcohol interaction)	EFO_0002916
hdl cholesterol total lipoprotein fraction concentration in fasting sample	N/A
lean body mass (kg) in children	N/A
il1ra in plasma	GO_0006954
glycan peak 14	GO_0070085
conduct disorder (interaction)	EFO_0004216
glomerulonephritis	HP_0000099
serum urea	EFO_0004274
alcohol behavior (alcohol dependence factor score)	EFO_0003829
methylation near gucy1a3 in cerebellum	GO_0006306
circulating pcsk9 levels	N/A
